	업종명	업소명	소재지지번	법인명	longitude	latitude	업태명
294	휴게음식점	순애네놀이터	서울특별시 마포구 서교동  407번지 20호  3층		126.9213315	37.5502414	기타 휴게음식점
295	휴게음식점	타르타르	서울특별시 마포구 서교동  336번지 1호  1층		126.9285511	37.5548682	커피숍
296	휴게음식점	커피만(홍대점)	서울특별시 마포구 서교동  346번지 53호		126.9236447	37.5543325	커피숍
297	휴게음식점	커피만(홍대점)	서울특별시 마포구 서교동  346번지 53호		126.9236447	37.5543325	커피숍
298	휴게음식점	커피온리(홍대점)	서울특별시 마포구 서교동  346번지 53호		126.9236447	37.5543325	커피숍
299	휴게음식점	커피온리(홍대점)	서울특별시 마포구 서교동  346번지 53호		126.9236447	37.5543325	커피숍
300	휴게음식점	더 커피	서울특별시 마포구 서교동  346번지 53호		126.9236447	37.5543325	커피숍
301	휴게음식점	더 커피	서울특별시 마포구 서교동  346번지 53호		126.9236447	37.5543325	커피숍
302	휴게음식점	마포다방	서울특별시 마포구 서교동  369번지 25호		126.9207823	37.5527737	커피숍
303	휴게음식점	마포다방	서울특별시 마포구 서교동  461번지 2호		126.9167273	37.5553478	커피숍
304	휴게음식점	마포다방	서울특별시 마포구 서교동  369번지 25호	주식회사 하이펫스쿨	126.9207823	37.5527737	커피숍
305	휴게음식점	마포다방	서울특별시 마포구 서교동  461번지 2호	주식회사 하이펫스쿨	126.9167273	37.5553478	커피숍
306	휴게음식점	맹쿤	서울특별시 마포구 서교동  407번지 27호  4층		126.9213545	37.5503687	다방
307	휴게음식점	아이비스PC홍대역점	서울특별시 마포구 동교동  165번지 8호  LG팰리스빌딩(221호일부)		126.9234453	37.5560805	기타 휴게음식점
308	휴게음식점	그리운꼬마	서울특별시 마포구 서교동  464번지 10호  1층		126.9169086	37.554634	커피숍
309	휴게음식점	블루웨일	서울특별시 마포구 서교동  463번지 15호  1층우측		126.9255433	37.5554671	커피숍
310	휴게음식점	망원동내커피 서교점	서울특별시 마포구 서교동  482번지 44호		126.9153502	37.5542368	커피숍
311	휴게음식점	가람	서울특별시 마포구 동교동  176번지 14호		126.9274169	37.5574835	커피숍
312	휴게음식점	가람	서울특별시 마포구 동교동  176번지 14호		126.9274169	37.5574835	커피숍
313	휴게음식점	(주)커피빈코리아동교동삼거리점	서울특별시 마포구 동교동  173번지 16호  1층	(주)커피빈코리아	126.9264846	37.55833459999999	커피숍
